epoch,loss
1,0.0061
2,0.0028
3,0.0014
4,0.0008821
5,0.00082384
6,0.00090237
7,0.00098279
8,0.001
9,0.001
10,0.00095528
11,0.00088984
12,0.00081552
13,0.0007421
14,0.00067804
15,0.00062806
16,0.00059177
17,0.00056593
18,0.00054723
19,0.00053331
20,0.00052178
21,0.00051048
22,0.00049814
23,0.00048554
24,0.00047374
25,0.00046366
26,0.00045514
27,0.00044779
28,0.00044146
29,0.0004361
30,0.00043139
31,0.00042689
32,0.00042233
33,0.00041793
34,0.00041379
35,0.00040985
36,0.00040619
37,0.00040276
38,0.00039978
39,0.00039712
40,0.00039446
41,0.00039187
42,0.00038949
43,0.00038741
44,0.0003854
45,0.00038374
46,0.00038232
47,0.00038116
48,0.00038011
49,0.00037914
50,0.00037819
51,0.00037728
52,0.00037628
53,0.00037527
54,0.00037425
55,0.0003733
56,0.00037242
57,0.00037155
58,0.00037078
59,0.00037004
60,0.00036937
61,0.00036871
62,0.00036802
63,0.00036743
64,0.00036679
65,0.00036626
66,0.00036571
67,0.00036524
68,0.00036472
69,0.00036423
70,0.00036375
71,0.00036325
72,0.00036275
73,0.00036229
74,0.00036182
75,0.00036135
76,0.00036085
77,0.00036041
78,0.00035999
79,0.00035953
80,0.00035926
81,0.00035874
82,0.00035834
83,0.00035787
84,0.0003575
85,0.00035704
86,0.00035663
87,0.00035622
88,0.00035585
89,0.00035544
90,0.00035502
91,0.00035462
92,0.00035425
93,0.00035386
94,0.00035348
95,0.0003531
96,0.00035269
97,0.0003524
98,0.00035197
99,0.00035154
100,0.00035121
101,0.00035079
102,0.00035039
103,0.00035007
104,0.00034965
105,0.00034929
106,0.0003489
107,0.00034852
108,0.00034815
109,0.0003478
110,0.00034743
111,0.00034704
112,0.0003467
113,0.00034634
114,0.00034597
115,0.00034559
116,0.00034522
117,0.00034487
118,0.00034449
119,0.00034414
120,0.0003438
121,0.00034339
122,0.00034302
123,0.00034265
124,0.00034234
125,0.00034197
126,0.00034156
127,0.00034122
128,0.00034085
129,0.0003405
130,0.00034014
131,0.00033978
132,0.00033944
133,0.00033905
134,0.00033884
135,0.00033836
136,0.00033802
137,0.00033765
138,0.00033733
139,0.00033693
140,0.0003366
141,0.0003362
142,0.00033586
143,0.00033552
144,0.00033516
145,0.00033479
146,0.00033444
147,0.0003341
148,0.00033382
149,0.0003334
150,0.00033308
151,0.00033269
152,0.00033235
153,0.00033196
154,0.00033163
155,0.00033126
156,0.00033094
157,0.00033059
158,0.00033022
159,0.00032993
160,0.00032955
161,0.00032919
162,0.00032885
163,0.0003285
164,0.00032815
165,0.00032782
166,0.00032745
167,0.00032707
168,0.00032673
169,0.00032643
170,0.00032605
171,0.00032569
172,0.00032538
173,0.000325
174,0.00032465
175,0.00032433
176,0.00032401
177,0.00032359
178,0.0003233
179,0.00032293
180,0.00032259
181,0.00032223
182,0.00032187
183,0.00032153
184,0.00032119
185,0.00032083
186,0.00032048
187,0.00032033
188,0.00031984
189,0.00031943
190,0.00031909
191,0.00031875
192,0.0003184
193,0.00031807
194,0.0003177
195,0.00031735
196,0.00031699
197,0.00031664
198,0.00031629
199,0.00031596
200,0.00031558
201,0.00031524
202,0.00031488
203,0.00031457
204,0.0003142
205,0.00031384
206,0.00031349
207,0.00031316
208,0.00031279
209,0.00031247
210,0.00031208
211,0.00031173
212,0.00031139
213,0.00031107
214,0.00031073
215,0.00031033
216,0.00030996
217,0.00030961
218,0.00030924
219,0.00030889
220,0.00030854
221,0.00030819
222,0.00030783
223,0.00030749
224,0.00030712
225,0.00030675
226,0.00030637
227,0.00030609
228,0.00030569
229,0.00030536
230,0.00030492
231,0.00030457
232,0.00030422
233,0.00030386
234,0.00030347
235,0.00030316
236,0.00030275
237,0.00030236
238,0.00030201
239,0.00030164
240,0.00030125
241,0.00030089
242,0.00030058
243,0.00030014
244,0.00029978
245,0.00029939
246,0.00029899
247,0.00029865
248,0.00029824
249,0.00029784
250,0.00029748
251,0.0002971
252,0.0002967
253,0.00029629
254,0.00029593
255,0.00029554
256,0.00029515
257,0.00029476
258,0.00029435
259,0.00029396
260,0.00029356
261,0.00029318
262,0.00029277
263,0.00029238
264,0.00029197
265,0.00029156
266,0.00029113
267,0.00029076
268,0.00029033
269,0.0002899
270,0.0002895
271,0.00028911
272,0.00028866
273,0.00028823
274,0.00028781
275,0.00028736
276,0.00028694
277,0.00028649
278,0.00028606
279,0.00028562
280,0.00028522
281,0.00028477
282,0.0002843
283,0.00028387
284,0.0002834
285,0.00028298
286,0.00028251
287,0.00028203
288,0.0002816
289,0.00028114
290,0.00028062
291,0.00028015
292,0.00027969
293,0.00027919
294,0.00027868
295,0.00027821
296,0.00027772
297,0.00027725
298,0.00027672
299,0.00027622
300,0.00027571
301,0.0002752
302,0.00027471
303,0.00027414
304,0.00027364
305,0.00027308
306,0.00027254
307,0.00027205
308,0.00027148
309,0.00027091
310,0.00027035
311,0.00026978
312,0.00026921
313,0.00026865
314,0.00026807
315,0.00026748
316,0.00026688
317,0.00026629
318,0.00026571
319,0.00026508
320,0.00026443
321,0.00026381
322,0.00026318
323,0.00026253
324,0.00026188
325,0.00026122
326,0.00026059
327,0.00025989
328,0.00025922
329,0.00025853
330,0.00025784
331,0.00025712
332,0.00025641
333,0.00025575
334,0.00025496
335,0.0002542
336,0.00025346
337,0.00025273
338,0.00025194
339,0.00025116
340,0.00025038
341,0.00024963
342,0.00024876
343,0.00024797
344,0.00024713
345,0.00024632
346,0.00024546
347,0.00024455
348,0.0002437
349,0.0002428
350,0.00024194
351,0.00024103
352,0.00024012
353,0.0002392
354,0.00023827
355,0.00023733
356,0.00023637
357,0.00023542
358,0.00023448
359,0.00023349
360,0.00023256
361,0.00023163
362,0.00023063
363,0.00022959
364,0.00022867
365,0.00022768
366,0.00022666
367,0.00022566
368,0.00022466
369,0.00022359
370,0.00022258
371,0.00022153
372,0.00022034
373,0.00021928
374,0.00021838
375,0.0002172
376,0.0002161
377,0.00021506
378,0.00021405
379,0.0002131
380,0.00021236
381,0.00021174
382,0.00021144
383,0.00021145
384,0.00021104
385,0.00020967
386,0.00020792
387,0.00020618
388,0.00020487
389,0.00020414
390,0.00020343
391,0.00020244
392,0.0002016
393,0.00020063
394,0.0001993
395,0.00019828
396,0.00019744
397,0.00019658
398,0.00019568
399,0.00019465
400,0.00019388
401,0.00019337
402,0.00019261
403,0.00019205
404,0.0001922
405,0.00019387
406,0.0001978
407,0.00020366
408,0.0002059
409,0.00019877
410,0.00018943
411,0.00019103
412,0.00019497
413,0.00019139
414,0.00018705
415,0.0001877
416,0.00018872
417,0.00018629
418,0.00018445
419,0.00018484
420,0.00018427
421,0.00018301
422,0.00018211
423,0.00018177
424,0.0001815
425,0.00018051
426,0.0001797
427,0.00017961
428,0.0001792
429,0.00017831
430,0.00017791
431,0.00017761
432,0.00017702
433,0.00017655
434,0.00017612
435,0.0001757
436,0.00017541
437,0.00017508
438,0.00017475
439,0.00017453
440,0.00017449
441,0.00017443
442,0.00017443
443,0.0001747
444,0.00017486
445,0.00017486
446,0.00017492
447,0.00017427
448,0.00017305
449,0.00017213
450,0.00017156
451,0.00017102
452,0.00017072
453,0.00017056
454,0.00017046
455,0.00017028
456,0.00016991
457,0.00016954
458,0.00016941
459,0.00016912
460,0.00016875
461,0.00016847
462,0.00016822
463,0.00016787
464,0.00016759
465,0.00016747
466,0.00016763
467,0.00016818
468,0.00016934
469,0.00017137
470,0.00017472
471,0.00017899
472,0.00018245
473,0.00018024
474,0.00017297
475,0.00016701
476,0.00016774
477,0.00017152
478,0.00017172
479,0.00016818
480,0.00016568
481,0.00016651
482,0.00016785
483,0.00016705
484,0.00016513
485,0.00016456
486,0.00016532
487,0.00016544
488,0.00016436
489,0.00016355
490,0.00016373
491,0.00016395
492,0.00016347
493,0.0001629
494,0.00016273
495,0.00016273
496,0.00016263
497,0.00016226
498,0.00016191
499,0.00016181
500,0.0001618
501,0.00016162
502,0.00016139
503,0.00016119
504,0.00016111
505,0.00016105
506,0.000161
507,0.00016102
508,0.00016124
509,0.0001618
510,0.00016286
511,0.00016455
512,0.00016675
513,0.00016868
514,0.00016917
515,0.0001672
516,0.00016371
517,0.00016114
518,0.00016088
519,0.00016237
520,0.0001635
521,0.0001625
522,0.00016061
523,0.0001597
524,0.00016012
525,0.00016062
526,0.00016053
527,0.00015994
528,0.00015923
529,0.00015893
530,0.00015903
531,0.00015924
532,0.00015909
533,0.00015865
534,0.00015822
535,0.00015807
536,0.00015819
537,0.00015819
538,0.00015804
539,0.00015782
540,0.0001576
541,0.00015745
542,0.00015737
543,0.00015734
544,0.00015731
545,0.00015721
546,0.00015711
547,0.00015697
548,0.00015685
549,0.00015681
550,0.00015679
551,0.0001568
552,0.00015682
553,0.00015689
554,0.00015701
555,0.00015716
556,0.00015747
557,0.00015794
558,0.00015853
559,0.00015917
560,0.00015969
561,0.00016011
562,0.00016034
563,0.0001605
564,0.00016047
565,0.00016056
566,0.00016082
567,0.00016127
568,0.00016147
569,0.00016094
570,0.00015941
571,0.00015771
572,0.00015657
573,0.00015626
574,0.00015658
575,0.00015715
576,0.00015737
577,0.00015694
578,0.00015617
579,0.0001555
580,0.00015526
581,0.00015537
582,0.00015553
583,0.00015559
584,0.00015545
585,0.00015513
586,0.00015479
587,0.00015462
588,0.00015459
589,0.00015461
590,0.00015458
591,0.00015452
592,0.00015436
593,0.00015422
594,0.00015411
595,0.00015403
596,0.00015398
597,0.00015395
598,0.00015396
599,0.00015393
600,0.00015399
601,0.00015393
602,0.00015402
603,0.0001542
604,0.00015457
605,0.00015523
606,0.00015629
607,0.00015784
608,0.00015997
609,0.00016264
610,0.00016501
611,0.00016534
612,0.00016258
613,0.00015811
614,0.00015513
615,0.00015509
616,0.0001567
617,0.00015769
618,0.00015708
619,0.00015532
620,0.00015396
621,0.00015393
622,0.00015475
623,0.00015506
624,0.00015445
625,0.00015363
626,0.00015328
627,0.00015339
628,0.00015356
629,0.00015346
630,0.00015318
631,0.00015289
632,0.00015271
633,0.00015269
634,0.00015277
635,0.00015273
636,0.0001525
637,0.00015227
638,0.00015217
639,0.00015222
640,0.00015226
641,0.0001522
642,0.00015208
643,0.00015198
644,0.00015198
645,0.00015202
646,0.00015217
647,0.00015239
648,0.00015284
649,0.00015368
650,0.0001553
651,0.00015798
652,0.00016197
653,0.00016611
654,0.00016891
655,0.00016692
656,0.00016105
657,0.00015476
658,0.0001529
659,0.00015545
660,0.00015811
661,0.00015753
662,0.00015442
663,0.00015247
664,0.00015312
665,0.00015451
666,0.00015444
667,0.00015293
668,0.00015193
669,0.0001522
670,0.00015279
671,0.00015273
672,0.00015201
673,0.00015147
674,0.00015154
675,0.00015182
676,0.00015176
677,0.00015136
678,0.00015107
679,0.00015106
680,0.00015119
681,0.00015114
682,0.00015094
683,0.00015074
684,0.00015069
685,0.00015074
686,0.00015075
687,0.00015063
688,0.00015047
689,0.0001504
690,0.00015041
691,0.00015042
692,0.00015039
693,0.00015026
694,0.0001502
695,0.00015018
696,0.00015014
697,0.00015015
698,0.0001501
699,0.00015006
700,0.00015003
701,0.00015004
702,0.00015011
703,0.0001502
704,0.00015022
705,0.00015016
706,0.00015008
707,0.00015015
708,0.00015038
709,0.00015069
710,0.00015105
711,0.00015151
712,0.00015205
713,0.00015278
714,0.00015346
715,0.00015385
716,0.00015378
717,0.00015329
718,0.00015266
719,0.00015217
720,0.00015187
721,0.00015165
722,0.0001514
723,0.00015112
724,0.00015102
725,0.00015103
726,0.00015094
727,0.00015062
728,0.00015017
729,0.00014983
730,0.00014972
731,0.00014978
732,0.00014987
733,0.00014987
734,0.00014988
735,0.00014979
736,0.00014969
737,0.00014959
738,0.00014948
739,0.00014939
740,0.00014938
741,0.00014945
742,0.00014959
743,0.00014975
744,0.00015
745,0.00015038
746,0.00015091
747,0.00015156
748,0.00015237
749,0.00015325
750,0.00015408
751,0.00015464
752,0.00015465
753,0.00015385
754,0.0001524
755,0.00015077
756,0.00014953
757,0.00014901
758,0.00014923
759,0.00014979
760,0.0001503
761,0.00015043
762,0.00015016
763,0.00014962
764,0.00014904
765,0.00014864
766,0.00014848
767,0.00014859
768,0.00014882
769,0.00014902
770,0.00014911
771,0.00014901
772,0.00014884
773,0.00014861
774,0.00014846
775,0.00014842
776,0.00014853
777,0.00014874
778,0.00014906
779,0.00014952
780,0.00015014
781,0.00015101
782,0.00015227
783,0.00015385
784,0.00015588
785,0.0001575
786,0.00015847
787,0.00015762
788,0.00015536
789,0.00015229
790,0.00014999
791,0.00014938
792,0.00015026
793,0.00015159
794,0.00015216
795,0.00015161
796,0.00015012
797,0.00014895
798,0.00014844
799,0.00014879
800,0.0001493
801,0.00014936
802,0.00014892
803,0.00014826
804,0.00014788
805,0.00014791
806,0.00014813
807,0.0001483
808,0.00014824
809,0.00014799
810,0.00014771
811,0.00014752
812,0.00014756
813,0.00014765
814,0.00014766
815,0.00014758
816,0.00014742
817,0.00014731
818,0.00014724
819,0.00014735
820,0.00014729
821,0.0001473
822,0.00014729
823,0.00014726
824,0.00014722
825,0.00014719
826,0.0001472
827,0.00014722
828,0.0001473
829,0.0001475
830,0.00014779
831,0.00014823
832,0.00014895
833,0.00015009
834,0.00015172
835,0.00015399
836,0.00015671
837,0.00015945
838,0.00016086
839,0.00016019
840,0.00015676
841,0.0001524
842,0.0001494
843,0.00014922
844,0.00015094
845,0.00015237
846,0.00015197
847,0.00015004
848,0.00014824
849,0.00014767
850,0.00014819
851,0.00014895
852,0.00014903
853,0.00014837
854,0.00014755
855,0.00014715
856,0.00014722
857,0.00014748
858,0.00014752
859,0.00014727
860,0.00014692
861,0.00014673
862,0.00014667
863,0.00014677
864,0.00014683
